conflict_country,iso3c,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum,fatalities_best
Israel,ISR,75.148,33.735,31.43297864,34.9911382,3751710.243,2,0,9944
Israel,ISR,77.23,28.61,31.43297864,34.9911382,4058514.845,1,0,0
Israel,ISR,100,60,31.43297864,34.9911382,5656317.727,1,0,0
Israel,ISR,105,35,31.43297864,34.9911382,6395033.214,1,0,0
Israel,ISR,106.828,-6.175,31.43297864,34.9911382,8680129.076,1,0,6211
Israel,ISR,116.397,39.907,31.43297864,34.9911382,7166945.839,12,2,23290
Israel,ISR,126.99,37.56,31.43297864,34.9911382,8113387.13,1,0,0
Israel,ISR,139.692,35.69,31.43297864,34.9911382,9197665.855,1,0,6211
Israel,ISR,149.127,-35.293,31.43297864,34.9911382,14012765.32,1,0,0
Israel,ISR,175,-18,31.43297864,34.9911382,15754396.26,1,0,0
Libya,LBY,-82.665,27.793,27.01671639,18.06679322,9603540.74,1,0,0
Libya,LBY,-77.016,38.905,27.01671639,18.06679322,8578721.085,3,0,0
Libya,LBY,-73.925,40.694,27.01671639,18.06679322,8257101.859,5,0,2
Libya,LBY,-64.683,10.14,27.01671639,18.06679322,8795291.865,1,0,0
Libya,LBY,-55,-10,27.01671639,18.06679322,8886104.34,1,0,0
Libya,LBY,-7.156,33.788,27.01671639,18.06679322,2528695.108,3,1,2
Libya,LBY,-6.842,34.021,27.01671639,18.06679322,2505147.81,1,0,0
Libya,LBY,-5,32,27.01671639,18.06679322,2297581.803,1,0,0
Libya,LBY,2.118,13.515,27.01671639,18.06679322,2238886.817,2,0,0
Libya,LBY,2.352,48.857,27.01671639,18.06679322,2782869.607,2,0,0
Libya,LBY,3.059,36.754,27.01671639,18.06679322,1781450.563,2,0,0
Libya,LBY,4.352,50.847,27.01671639,18.06679322,2895552.043,1,0,0
Libya,LBY,9,34,27.01671639,18.06679322,1165399.539,1,0,0
Libya,LBY,10.182,36.806,27.01671639,18.06679322,1318899.861,13,1,2
Libya,LBY,12.017,31.95,27.01671639,18.06679322,802981.3865,1,0,0
