"conflict_country","iso3c","YYYYMM","med_loc_x","med_loc_y","latitude_con","longitude_con","dist_mediation_conflict","mediation_count","agreements_sum","fatalities_best"
"Sudan","SDN","202311",46.717,24.633,15.9679661095596,29.9074652457207,1999867.46437263,1,0,2102
"Sudan","SDN","202403",46.717,24.633,15.9679661095596,29.9074652457207,1999867.46437263,1,0,0
"Sudan","SDN","202409",46.717,24.633,15.9679661095596,29.9074652457207,1999867.46437263,1,0,0
"Sudan","SDN","202411",46.717,24.633,15.9679661095596,29.9074652457207,1999867.46437263,2,0,0
"Sudan","SDN","202309",51.25,25.5,15.9679661095596,29.9074652457207,2457536.52663233,1,0,440
"Sudan","SDN","201807",51.533,25.287,15.9679661095596,29.9074652457207,2475611.63632661,1,0,42
"Sudan","SDN","201811",51.533,25.287,15.9679661095596,29.9074652457207,2475611.63632661,1,0,51
"Sudan","SDN","201901",51.533,25.287,15.9679661095596,29.9074652457207,2475611.63632661,1,0,64
"Sudan","SDN","202208",51.533,25.287,15.9679661095596,29.9074652457207,2475611.63632661,1,0,21
"Sudan","SDN","202201",54,24,15.9679661095596,29.9074652457207,2669567.38087642,1,0,45
"Sudan","SDN","201912",54.367,24.467,15.9679661095596,29.9074652457207,2719287.19998594,1,0,99
"Sudan","SDN","202009",54.367,24.467,15.9679661095596,29.9074652457207,2719287.19998594,1,0,9
"Sudan","SDN","202409",116.397,39.907,15.9679661095596,29.9074652457207,8593229.63597614,3,0,0
"Sudan","SDN","202404",121.97,20.45,15.9679661095596,29.9074652457207,9612215.89149109,1,0,0
"Syria","SYR","202302",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,5,0,0
"Syria","SYR","202303",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202304",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202305",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202306",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202307",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,5,0,0
"Syria","SYR","202308",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,2,0,0
"Syria","SYR","202309",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,5,0,0
"Syria","SYR","202310",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202311",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202401",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,2,0,0
"Syria","SYR","202402",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202403",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202404",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,2,0,0
"Syria","SYR","202405",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202407",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202409",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202410",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,1,0,0
"Syria","SYR","202412",-73.925,40.694,35.0167773258703,38.4844621406404,9139511.23831351,2,0,0
"Syria","SYR","202306",4.352,50.847,35.0167773258703,38.4844621406404,3249513.91413738,1,0,0
"Syria","SYR","202405",4.352,50.847,35.0167773258703,38.4844621406404,3249513.91413738,1,0,0
"Syria","SYR","202412",4.352,50.847,35.0167773258703,38.4844621406404,3249513.91413738,1,0,0
"Syria","SYR","202301",6.147,46.202,35.0167773258703,38.4844621406404,2976133.15084732,2,0,0
"Syria","SYR","202302",6.147,46.202,35.0167773258703,38.4844621406404,2976133.15084732,1,0,0
"Syria","SYR","202306",6.147,46.202,35.0167773258703,38.4844621406404,2976133.15084732,1,0,0
"Syria","SYR","202311",6.147,46.202,35.0167773258703,38.4844621406404,2976133.15084732,3,0,0
"Syria","SYR","202312",6.147,46.202,35.0167773258703,38.4844621406404,2976133.15084732,4,0,0
"Syria","SYR","202404",6.147,46.202,35.0167773258703,38.4844621406404,2976133.15084732,1,0,0
"Syria","SYR","202301",9.836,46.803,35.0167773258703,38.4844621406404,2722322.61361781,1,0,0
"Syria","SYR","202305",13.405,52.52,35.0167773258703,38.4844621406404,2776804.63933737,1,0,0
"Syria","SYR","202309",28.955,41.014,35.0167773258703,38.4844621406404,1068537.24727958,1,0,0
"Syria","SYR","202311",28.955,41.014,35.0167773258703,38.4844621406404,1068537.24727958,1,0,0
"Syria","SYR","202304",31.236,30.044,35.0167773258703,38.4844621406404,876594.682279511,1,0,0
"Syria","SYR","202305",31.236,30.044,35.0167773258703,38.4844621406404,876594.682279511,1,0,0
"Syria","SYR","202308",31.236,30.044,35.0167773258703,38.4844621406404,876594.682279511,1,0,0
"Syria","SYR","202409",31.236,30.044,35.0167773258703,38.4844621406404,876594.682279511,1,0,0
"Syria","SYR","202412",31.236,30.044,35.0167773258703,38.4844621406404,876594.682279511,3,0,0
"Syria","SYR","202301",32.85,39.93,35.0167773258703,38.4844621406404,739216.111492246,3,0,0
"Syria","SYR","202302",32.85,39.93,35.0167773258703,38.4844621406404,739216.111492246,1,0,0
"Syria","SYR","202304",32.85,39.93,35.0167773258703,38.4844621406404,739216.111492246,1,0,0
"Syria","SYR","202308",32.85,39.93,35.0167773258703,38.4844621406404,739216.111492246,1,0,0
"Syria","SYR","202310",32.85,39.93,35.0167773258703,38.4844621406404,739216.111492246,1,0,0
"Syria","SYR","202408",32.85,39.93,35.0167773258703,38.4844621406404,739216.111492246,1,0,0
"Syria","SYR","202412",32.85,39.93,35.0167773258703,38.4844621406404,739216.111492246,4,0,0
"Syria","SYR","202412",35.006,29.532,35.0167773258703,38.4844621406404,692665.214846735,2,0,0
"Syria","SYR","202406",35.783,35.517,35.0167773258703,38.4844621406404,251759.555798054,1,0,0
"Syria","SYR","202303",35.933,31.95,35.0167773258703,38.4844621406404,415490.705922602,1,0,0
"Syria","SYR","202304",35.933,31.95,35.0167773258703,38.4844621406404,415490.705922602,1,0,0
